"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.2539,0.74164443809968,1,20260709,1000
40,1,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.2506,0.749585410082444,1,20260709,1000
60,1,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24923333333333,0.746953483146613,1,20260709,1000
90,1,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24718888888889,0.749467694712346,1,20260709,1000
120,1,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24905,0.751313144077433,1,20260709,1000
150,1,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24993333333333,0.748482356982161,1,20260709,1000
20,2,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",0.0698529411764706,0.0154555229736087,0.019,0.136363636363636,4.10115114508358,-0.0147331899780622,-0.147331899780622,0.188047918097564,0.188279257920575,0.952205882352941,0.752092949935397,0.272,272,1000,4.49495,1.03820566860738,1,20260709,1000
40,2,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",0.173553719008264,0.0243453820375953,0.042,0,3.00683389439454,0.00816998090924378,0.0816998090924378,0.143240711592434,0.143177740339753,0.921487603305785,0.505531779308145,0.242,242,1000,4.501675,1.05471011327429,1,20260709,1000
60,2,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",0.150234741784038,0.0244818860071147,0.032,0,2.45466950646171,0.000560499357631972,0.00560499357631972,0.0964362994858297,0.0962112895385838,0.943661971830986,0.399380122013671,0.213,213,1000,4.49768333333333,1.06108448017567,1,20260709,1000
90,2,3,0,Inf,0.75,0,0.3,0,"fixed",7,0.2,0.3,0.1,"fixed_7",0.324675324675325,0.0377329352693491,0.05,0,2.04396231854386,0.0122537399825396,0.122537399825396,0.0904036089344695,0.0909389709686822,0.922077922077922,0.322815501886912,0.154,154,1000,4.50865555555556,1.05354331009247,1,20260709,1000
