"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.25485,0.732307440901666,1,20260709,1000
40,1,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24565,0.748265351843073,1,20260709,1000
60,1,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24701666666667,0.747020938775313,1,20260709,1000
90,1,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.25238888888889,0.747879530256127,1,20260709,1000
120,1,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.25095833333333,0.750883215440813,1,20260709,1000
150,1,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24790666666667,0.749145907314866,1,20260709,1000
20,2,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.247863247863248,0.0282258185002357,0.058,0,2.18438699146785,0.0216019419328865,0.108009709664432,0.176391578404101,0.177334900858504,0.94017094017094,0.70186220579593,0.234,234,1000,4.49925,1.0592679273368,1,20260709,1000
40,2,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.385365853658537,0.0339913197307327,0.079,0,1.59815136035081,0.000699298755351185,0.00349649377675593,0.121077559371737,0.120783911605538,0.946341463414634,0.472230640159751,0.205,205,1000,4.501325,1.05874101443526,1,20260709,1000
60,2,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.502857142857143,0.0377958302110313,0.088,0,1.38526968592001,-0.000593578312365894,-0.00296789156182947,0.0998628872582013,0.0995789250919219,0.942857142857143,0.386184356669363,0.175,175,1000,4.50775,1.05045049208379,1,20260709,1000
90,2,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.75,0.0338126113000287,0.123,0,1.15777092580509,0.00346637717316756,0.0173318858658378,0.0721276208204412,0.0719908851397818,0.951219512195122,0.311548043254329,0.164,164,1000,4.50056666666667,1.06032661335512,1,20260709,1000
120,2,3,0,Inf,0.75,0,0.3,0,"fixed",3,0.2,0.3,0.1,"fixed_3",0.870748299319728,0.0276697849097021,0.128,0,1.13768098597906,0.0118155518797302,0.0590777593986509,0.0637230456585959,0.06459574679791,0.979591836734694,0.273614211315628,0.147,147,1000,4.49913333333333,1.05755647435913,1,20260709,1000
