"N","lambda_bar","D","cv","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24345,0.745239339637076,1,20260709,1000
40,1,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.2542,0.746022651480487,1,20260709,1000
60,1,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.25391666666667,0.745584378932939,1,20260709,1000
90,1,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24981111111111,0.751176156616081,1,20260709,1000
120,1,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.24823333333333,0.749008651773383,1,20260709,1000
150,1,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1000,2.2499,0.749993519079296,1,20260709,1000
20,2,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.0823170731707317,0.0151758967906485,0.027,0.0689655172413793,4.32814349494273,0.0141794609547916,0.0708973047739578,0.349747174906001,0.34950136942337,0.954268292682927,1.40066042879731,0.328,328,1000,4.5092,1.04602393579472,1,20260709,1000
40,2,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.11522633744856,0.0204827769270932,0.028,0.0344827586206897,2.84518752759829,-0.00325422881065837,-0.0162711440532919,0.234884082414995,0.234422872071053,0.958847736625514,0.955595102873214,0.243,243,1000,4.492325,1.05577538526474,1,20260709,1000
60,2,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.211538461538462,0.025327845791084,0.055,0,2.34396612205081,0.0161180773676615,0.0805903868383073,0.181546525162589,0.181912526480427,0.969230769230769,0.776155739541183,0.26,260,1000,4.49618333333333,1.05325082632751,1,20260709,1000
90,2,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.229050279329609,0.0314088420163499,0.041,0.0238095238095238,2.07922899168047,-0.00580584897913153,-0.0290292448956576,0.17188083277357,0.171498349114691,0.927374301675978,0.635496271433112,0.179,179,1000,4.50334444444444,1.05727578704715,1,20260709,1000
120,2,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.335,0.0333747659167821,0.067,0,1.813079624454,0.0191133979204746,0.0955669896023731,0.135090619890359,0.136101249753689,0.95,0.543837022592553,0.2,200,1000,4.497525,1.05793548825442,1,20260709,1000
150,2,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.355555555555556,0.0356787987519772,0.064,0,1.70779727646213,0.00281419182859535,0.0140709591429768,0.126894624512835,0.126572937412299,0.944444444444444,0.47841632186125,0.18,180,1000,4.50196,1.06042365258705,1,20260709,1000
20,3,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.111975116640746,0.0124356314616813,0.072,0.027027027027027,2.98207493275942,-0.00172145902965443,-0.00860729514827213,0.247473880401421,0.247287360532204,0.968895800933126,1.0551881188331,0.643,643,1000,6.746,1.28426908637993,1,20260709,1000
40,3,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.198952879581152,0.014443001860152,0.152,0,2.26995833087937,0.00298212269391104,0.0149106134695552,0.184048437634728,0.183952121436891,0.94109947643979,0.720440509554427,0.764,764,1000,6.749125,1.29732540047299,1,20260709,1000
60,3,3,0,Inf,0.75,0,0.3,0,"fixed",5,0.2,0.3,0.2,"fixed_5",0.274173806609547,0.0156069583380759,0.224,0,1.89840986841193,0.0076105982333888,0.038052991166944,0.144822147812705,0.144933448174053,0.951040391676867,0.587710961507833,0.817,817,1000,6.75476666666667,1.2921286445991,1,20260709,1000
